captured_at_utc,run_label,sensor_under_test,known_distance_mm,cycle_id,s1_distance_mm,s1_valid,s1_sample_time_ms,s2_distance_mm,s2_valid,s2_sample_time_ms,s3_distance_mm,s3_valid,s3_sample_time_ms,scan_span_ms
2026-08-17T05:20:08.718611+00:00,s2-flat-board-500mm,s2,500.0,5525,511.1,True,586585,515.5,True,586621,504.0,True,586655,70
2026-08-17T05:20:08.718611+00:00,s2-flat-board-500mm,s2,500.0,5526,511.1,True,586691,515.5,True,586727,504.2,True,586761,70
2026-08-17T05:20:08.718611+00:00,s2-flat-board-500mm,s2,500.0,5527,511.1,True,586797,515.7,True,586833,504.0,True,586867,70
2026-08-17T05:20:08.718611+00:00,s2-flat-board-500mm,s2,500.0,5528,511.2,True,586903,515.5,True,586939,504.2,True,586973,70
2026-08-17T05:20:08.718611+00:00,s2-flat-board-500mm,s2,500.0,5529,511.2,True,587009,515.5,True,587045,504.2,True,587079,70
2026-08-17T05:20:08.718611+00:00,s2-flat-board-500mm,s2,500.0,5530,511.4,True,587115,515.5,True,587150,504.2,True,587185,70
2026-08-17T05:20:08.718611+00:00,s2-flat-board-500mm,s2,500.0,5531,511.1,True,587221,515.4,True,587257,504.2,True,587291,70
2026-08-17T05:20:08.718611+00:00,s2-flat-board-500mm,s2,500.0,5532,511.2,True,587327,515.5,True,587363,504.0,True,587397,70
2026-08-17T05:20:08.718611+00:00,s2-flat-board-500mm,s2,500.0,5533,510.9,True,587433,515.7,True,587469,504.0,True,587503,70
2026-08-17T05:20:08.718611+00:00,s2-flat-board-500mm,s2,500.0,5534,511.2,True,587539,515.7,True,587575,503.9,True,587609,70
2026-08-17T05:20:08.718611+00:00,s2-flat-board-500mm,s2,500.0,5535,511.1,True,587645,515.7,True,587681,504.2,True,587715,70
2026-08-17T05:20:08.718611+00:00,s2-flat-board-500mm,s2,500.0,5536,511.1,True,587751,515.5,True,587787,504.0,True,587821,70
2026-08-17T05:20:08.718611+00:00,s2-flat-board-500mm,s2,500.0,5537,511.1,True,587857,515.7,True,587893,504.0,True,587927,70
2026-08-17T05:20:08.718611+00:00,s2-flat-board-500mm,s2,500.0,5538,511.1,True,587963,515.4,True,587999,504.0,True,588033,70
2026-08-17T05:20:08.718611+00:00,s2-flat-board-500mm,s2,500.0,5539,516.0,True,588069,515.5,True,588105,504.0,True,588139,70
2026-08-17T05:20:08.718611+00:00,s2-flat-board-500mm,s2,500.0,5540,511.1,True,588175,515.4,True,588211,503.9,True,588245,70
2026-08-17T05:20:08.718611+00:00,s2-flat-board-500mm,s2,500.0,5541,511.1,True,588281,515.5,True,588317,504.0,True,588351,70
2026-08-17T05:20:08.718611+00:00,s2-flat-board-500mm,s2,500.0,5542,511.1,True,588387,515.7,True,588423,504.0,True,588457,70
2026-08-17T05:20:08.718611+00:00,s2-flat-board-500mm,s2,500.0,5543,511.1,True,588493,515.7,True,588529,504.0,True,588563,70
2026-08-17T05:20:08.718611+00:00,s2-flat-board-500mm,s2,500.0,5544,511.1,True,588599,515.7,True,588635,504.0,True,588669,70
2026-08-17T05:20:08.718611+00:00,s2-flat-board-500mm,s2,500.0,5545,511.2,True,588705,515.7,True,588741,504.0,True,588775,70
2026-08-17T05:20:08.718611+00:00,s2-flat-board-500mm,s2,500.0,5546,511.1,True,588811,515.7,True,588847,504.2,True,588881,70
2026-08-17T05:20:08.718611+00:00,s2-flat-board-500mm,s2,500.0,5547,511.1,True,588917,515.5,True,588953,504.4,True,588987,70
2026-08-17T05:20:08.718611+00:00,s2-flat-board-500mm,s2,500.0,5548,511.1,True,589023,515.5,True,589059,504.0,True,589094,71
2026-08-17T05:20:08.718611+00:00,s2-flat-board-500mm,s2,500.0,5549,511.1,True,589129,515.5,True,589164,504.4,True,589199,70
2026-08-17T05:20:08.718611+00:00,s2-flat-board-500mm,s2,500.0,5550,510.9,True,589235,515.7,True,589271,504.0,True,589305,70
2026-08-17T05:20:08.718611+00:00,s2-flat-board-500mm,s2,500.0,5551,510.9,True,589341,515.5,True,589377,504.0,True,589411,70
2026-08-17T05:20:08.718611+00:00,s2-flat-board-500mm,s2,500.0,5552,511.1,True,589447,515.7,True,589483,504.0,True,589517,70
2026-08-17T05:20:08.718611+00:00,s2-flat-board-500mm,s2,500.0,5553,511.1,True,589553,515.7,True,589588,504.0,True,589623,70
2026-08-17T05:20:08.718611+00:00,s2-flat-board-500mm,s2,500.0,5554,511.1,True,589659,515.7,True,589695,504.0,True,589729,70
2026-08-17T05:20:08.718611+00:00,s2-flat-board-500mm,s2,500.0,5555,511.2,True,589765,515.5,True,589801,504.0,True,589835,70
2026-08-17T05:20:08.718611+00:00,s2-flat-board-500mm,s2,500.0,5556,510.9,True,589871,515.5,True,589907,504.2,True,589941,70
2026-08-17T05:20:08.718611+00:00,s2-flat-board-500mm,s2,500.0,5557,511.1,True,589977,515.9,True,590012,504.2,True,590047,70
2026-08-17T05:20:08.718611+00:00,s2-flat-board-500mm,s2,500.0,5558,511.2,True,590083,515.9,True,590118,504.0,True,590153,70
2026-08-17T05:20:08.718611+00:00,s2-flat-board-500mm,s2,500.0,5559,511.1,True,590189,515.7,True,590225,504.2,True,590259,70
