captured_at_utc,run_label,sensor_under_test,known_distance_mm,cycle_id,s1_distance_mm,s1_valid,s1_sample_time_ms,s2_distance_mm,s2_valid,s2_sample_time_ms,s3_distance_mm,s3_valid,s3_sample_time_ms,scan_span_ms
2026-08-17T05:19:41.991695+00:00,s1-flat-board-500mm,s1,500.0,5317,511.2,True,564546,515.5,True,564581,503.9,True,564617,71
2026-08-17T05:19:41.991695+00:00,s1-flat-board-500mm,s1,500.0,5318,511.1,True,564652,515.7,True,564687,504.0,True,564722,70
2026-08-17T05:19:41.991695+00:00,s1-flat-board-500mm,s1,500.0,5319,511.1,True,564758,515.7,True,564793,504.2,True,564828,70
2026-08-17T05:19:41.991695+00:00,s1-flat-board-500mm,s1,500.0,5320,516.0,True,564864,515.5,True,564899,504.0,True,564935,71
2026-08-17T05:19:41.991695+00:00,s1-flat-board-500mm,s1,500.0,5321,511.1,True,564969,515.5,True,565004,504.2,True,565039,70
2026-08-17T05:19:41.991695+00:00,s1-flat-board-500mm,s1,500.0,5322,511.1,True,565074,515.5,True,565110,504.2,True,565145,71
2026-08-17T05:19:41.991695+00:00,s1-flat-board-500mm,s1,500.0,5323,511.1,True,565180,515.5,True,565216,504.2,True,565251,71
2026-08-17T05:19:41.991695+00:00,s1-flat-board-500mm,s1,500.0,5324,511.1,True,565286,515.5,True,565322,504.0,True,565357,71
2026-08-17T05:19:41.991695+00:00,s1-flat-board-500mm,s1,500.0,5325,511.1,True,565392,515.5,True,565428,504.0,True,565463,71
2026-08-17T05:19:41.991695+00:00,s1-flat-board-500mm,s1,500.0,5326,511.2,True,565498,515.7,True,565533,504.0,True,565569,71
2026-08-17T05:19:41.991695+00:00,s1-flat-board-500mm,s1,500.0,5327,511.2,True,565604,515.5,True,565640,504.0,True,565675,71
2026-08-17T05:19:41.991695+00:00,s1-flat-board-500mm,s1,500.0,5328,511.1,True,565710,515.5,True,565745,504.0,True,565781,71
2026-08-17T05:19:41.991695+00:00,s1-flat-board-500mm,s1,500.0,5329,511.2,True,565816,515.7,True,565851,508.0,True,565887,71
2026-08-17T05:19:41.991695+00:00,s1-flat-board-500mm,s1,500.0,5330,511.1,True,565922,515.7,True,565958,504.0,True,565993,71
2026-08-17T05:19:41.991695+00:00,s1-flat-board-500mm,s1,500.0,5331,511.1,True,566028,515.5,True,566064,504.2,True,566099,71
2026-08-17T05:19:41.991695+00:00,s1-flat-board-500mm,s1,500.0,5332,511.1,True,566134,515.7,True,566170,507.8,True,566205,71
2026-08-17T05:19:41.991695+00:00,s1-flat-board-500mm,s1,500.0,5333,511.2,True,566240,515.7,True,566276,504.2,True,566311,71
2026-08-17T05:19:41.991695+00:00,s1-flat-board-500mm,s1,500.0,5334,511.1,True,566346,515.5,True,566382,504.2,True,566417,71
2026-08-17T05:19:41.991695+00:00,s1-flat-board-500mm,s1,500.0,5335,511.1,True,566452,515.7,True,566488,504.2,True,566523,71
2026-08-17T05:19:41.991695+00:00,s1-flat-board-500mm,s1,500.0,5336,511.1,True,566558,515.7,True,566594,504.2,True,566629,71
2026-08-17T05:19:41.991695+00:00,s1-flat-board-500mm,s1,500.0,5337,510.9,True,566664,515.7,True,566700,504.0,True,566735,71
2026-08-17T05:19:41.991695+00:00,s1-flat-board-500mm,s1,500.0,5338,511.1,True,566770,515.7,True,566806,504.0,True,566841,71
2026-08-17T05:19:41.991695+00:00,s1-flat-board-500mm,s1,500.0,5339,511.1,True,566876,515.7,True,566912,504.2,True,566947,71
2026-08-17T05:19:41.991695+00:00,s1-flat-board-500mm,s1,500.0,5340,511.1,True,566982,515.7,True,567018,504.0,True,567053,71
2026-08-17T05:19:41.991695+00:00,s1-flat-board-500mm,s1,500.0,5341,511.2,True,567088,515.5,True,567124,504.0,True,567159,71
2026-08-17T05:19:41.991695+00:00,s1-flat-board-500mm,s1,500.0,5342,511.2,True,567193,515.5,True,567228,503.9,True,567264,71
2026-08-17T05:19:41.991695+00:00,s1-flat-board-500mm,s1,500.0,5343,511.1,True,567299,515.7,True,567335,504.0,True,567370,71
2026-08-17T05:19:41.991695+00:00,s1-flat-board-500mm,s1,500.0,5344,511.1,True,567405,515.7,True,567441,504.0,True,567476,71
